id,avg_pace,pace_group,pace_color,total_tracks,total_tracks_group,total_tracks_color,list_tracks,map_tooltip,map_popup,geometry
3,23.95,From 15 to 30 min/km,#E53888,1,Less than 25 tracks,#FCEF91,[115560771],Edge <b>3</b>,"<div style=""font-size: 10px;"">
                        <b>Edge 3</b><br>
                        <ul style=""padding-left: 16px; margin: 4px 0;"">
                            <li><b>Total registered tracks</b>: 1</li>
                            <li><b>Average pace</b>: 23:57 min/km</li>
                        </ul></div>","LINESTRING (2.3473921 41.801154, 2.3473243 41.8011587)"
5,18.63,From 15 to 30 min/km,#E53888,12,Less than 25 tracks,#FCEF91,"[115419462, 115419539, 115419589, 115419690, 115419738, 115420031, 115420037, 115420137, 115420262, 115555882, 115560771, 115639784]",Edge <b>5</b>,"<div style=""font-size: 10px;"">
                        <b>Edge 5</b><br>
                        <ul style=""padding-left: 16px; margin: 4px 0;"">
                            <li><b>Total registered tracks</b>: 12</li>
                            <li><b>Average pace</b>: 18:38 min/km</li>
                        </ul></div>","LINESTRING (2.3473921 41.801154, 2.3471243 41.8011241, 2.3468198 41.8011298, 2.3467184 41.8011347)"
6,29.08,From 15 to 30 min/km,#E53888,1,Less than 25 tracks,#FCEF91,[115577815],Edge <b>6</b>,"<div style=""font-size: 10px;"">
                        <b>Edge 6</b><br>
                        <ul style=""padding-left: 16px; margin: 4px 0;"">
                            <li><b>Total registered tracks</b>: 1</li>
                            <li><b>Average pace</b>: 29:05 min/km</li>
                        </ul></div>","LINESTRING (2.3473921 41.801154, 2.3473835 41.8014085, 2.3473824 41.8015304, 2.3473757 41.8016066, 2.347368 41.8016522, 2.3473542 41.801686, 2.3473302 41.8017334, 2.3472679 41.8018154, 2.3471785 41.8019146)"
215,18.63,From 15 to 30 min/km,#E53888,2,Less than 25 tracks,#FCEF91,"[115347710, 115419589]",Edge <b>215</b>,"<div style=""font-size: 10px;"">
                        <b>Edge 215</b><br>
                        <ul style=""padding-left: 16px; margin: 4px 0;"">
                            <li><b>Total registered tracks</b>: 2</li>
                            <li><b>Average pace</b>: 18:38 min/km</li>
                        </ul></div>","LINESTRING (2.3529654 41.8214379, 2.3530866 41.8215458, 2.3533012 41.8217457, 2.3534514 41.8218336, 2.3537625 41.8219776, 2.3539127 41.8220815, 2.3540415 41.8222494, 2.3541166 41.8224893, 2.3542131 41.8227451, 2.3542346 41.822929, 2.3543311 41.8231129, 2.3544813 41.8232008, 2.3546637 41.8233687, 2.3548461 41.8233847, 2.3549105 41.8235286, 2.3548998 41.8237045, 2.3547603 41.8239044, 2.3548206 41.8239234, 2.3550822 41.8238405, 2.3552967 41.8236726, 2.3555542 41.8235926, 2.3558654 41.8234647, 2.3561443 41.8233607, 2.3563723 41.8231369, 2.3565171 41.8230029, 2.3567183 41.822843, 2.3568631 41.822781, 2.3569543 41.8227647, 2.357472 41.822795, 2.3578556 41.822915, 2.3581399 41.8230649, 2.3583759 41.8230649, 2.3585798 41.8230649, 2.3587729 41.8231049, 2.3589875 41.8231289, 2.3591055 41.8231049, 2.3592771 41.822977, 2.3594595 41.8227611, 2.3595265 41.8227051, 2.3595937 41.8226651, 2.3596527 41.8225952, 2.3597653 41.8226052, 2.3598806 41.8226832, 2.3599477 41.8227531, 2.3599852 41.8228411, 2.3600818 41.822873, 2.3601247 41.8230489, 2.3601222 41.8232061, 2.3602211 41.8234105, 2.3602587 41.8235094, 2.3603143 41.8234973, 2.3603637 41.8235413, 2.3605169 41.8236162, 2.3605587 41.8238218, 2.3605861 41.8240563, 2.3605861 41.8241922, 2.3604573 41.8242802, 2.3600818 41.8244881, 2.3599209 41.824608, 2.3597157 41.8247589, 2.3595225 41.8247868, 2.359481 41.8248558, 2.3593281 41.8248918, 2.3593308 41.8249467, 2.3593321 41.8250017, 2.3591967 41.8250297, 2.3591899 41.8250717, 2.3593844 41.8251516, 2.3595883 41.8251836, 2.3597492 41.8252556, 2.3598887 41.8253435, 2.3600603 41.8254475, 2.359996 41.8255114, 2.3599209 41.8255434, 2.3601998 41.8257033, 2.3602427 41.8257593, 2.3602642 41.8258552, 2.3604037 41.8259112, 2.3604251 41.8260711, 2.3605048 41.8261243, 2.3606371 41.8262153, 2.3607832 41.8263151, 2.3609186 41.8264228, 2.3610367 41.8265348, 2.3610934 41.8266726, 2.3610771 41.8269497, 2.3611837 41.8271271, 2.3613421 41.8272981, 2.3614075 41.8273244, 2.3615573 41.8274012, 2.3619051 41.8275425, 2.3622178 41.8276552, 2.3623966 41.8277503, 2.3625387 41.8278219, 2.3626353 41.8279018, 2.3627104 41.8280058, 2.3626889 41.8281017, 2.3626031 41.8281497, 2.3624754 41.8282963, 2.3623778 41.8284455, 2.3623708 41.8285116, 2.3623657 41.8285641, 2.3623992 41.8286134, 2.3625172 41.8288452, 2.362646 41.8290371, 2.3628391 41.829197, 2.3631073 41.8293329, 2.3634185 41.8296047, 2.3638154 41.8299244, 2.3641909 41.8302442, 2.3645557 41.830612, 2.3647488 41.8308997, 2.3649527 41.8312195, 2.3650707 41.8314673, 2.3650452 41.8317015, 2.3651315 41.8318313, 2.365205 41.8319122, 2.3651877 41.8319533, 2.3651646 41.8319991)"
216,18.63,From 15 to 30 min/km,#E53888,12,Less than 25 tracks,#FCEF91,"[115347710, 115419462, 115419487, 115419562, 115419589, 115419589, 115419589, 115419690, 115419738, 115420037, 115420039, 115420262]",Edge <b>216</b>,"<div style=""font-size: 10px;"">
                        <b>Edge 216</b><br>
                        <ul style=""padding-left: 16px; margin: 4px 0;"">
                            <li><b>Total registered tracks</b>: 12</li>
                            <li><b>Average pace</b>: 18:38 min/km</li>
                        </ul></div>","LINESTRING (2.3529654 41.8214379, 2.3527899 41.821441, 2.3526732 41.8214218, 2.3525581 41.8213703, 2.3524873 41.8213202, 2.3524458 41.8212759)"
217,18.63,From 15 to 30 min/km,#E53888,5,Less than 25 tracks,#FCEF91,"[115347710, 115419487, 115419562, 115419690, 115420262]",Edge <b>217</b>,"<div style=""font-size: 10px;"">
                        <b>Edge 217</b><br>
                        <ul style=""padding-left: 16px; margin: 4px 0;"">
                            <li><b>Total registered tracks</b>: 5</li>
                            <li><b>Average pace</b>: 18:38 min/km</li>
                        </ul></div>","LINESTRING (2.3529654 41.8214379, 2.3531358 41.8214643, 2.3536037 41.8215596, 2.3539755 41.8216634, 2.3541074 41.8217045, 2.3543392 41.8217822, 2.3545436 41.8219317, 2.3546786 41.8220151, 2.3547721 41.8219778, 2.3547163 41.821929, 2.3546951 41.8219089, 2.3546739 41.8218916, 2.3546758 41.8218069, 2.3546777 41.821738, 2.3546623 41.8217179, 2.354643 41.8216978, 2.354618 41.8216777, 2.3545949 41.8216619, 2.3545698 41.8216446, 2.3545428 41.8216303, 2.3545159 41.8216174, 2.3544889 41.8216044, 2.3544581 41.8215944, 2.3544272 41.8215786, 2.3543983 41.8215657, 2.3543694 41.8215499, 2.3543444 41.8215355, 2.3543193 41.8215154, 2.3542962 41.8214924, 2.3542769 41.8214709, 2.354275 41.8214465, 2.354275 41.8214221, 2.3542808 41.8213977, 2.3542981 41.821369, 2.3543078 41.8213445, 2.3543232 41.821323, 2.3543424 41.8213015, 2.3543733 41.8212828, 2.3544022 41.8212684, 2.3544311 41.8212526, 2.3544696 41.8212383, 2.3545004 41.8212282, 2.3545332 41.8212211, 2.3545679 41.8212211, 2.3546026 41.8212254, 2.3546373 41.8212325, 2.3546719 41.8212426, 2.3547047 41.8212512, 2.3547394 41.821257, 2.3547721 41.8212555, 2.3548068 41.8212526, 2.3548492 41.821244, 2.3548837 41.8212408, 2.3549286 41.8211898, 2.3549097 41.8211441, 2.3549073 41.8211071, 2.3549333 41.8210649, 2.3549711 41.8210403, 2.3550749 41.8209999)"
218,18.63,From 15 to 30 min/km,#E53888,8,Less than 25 tracks,#FCEF91,"[115347710, 115419462, 115419539, 115419589, 115419690, 115420031, 115420137, 115420262]",Edge <b>218</b>,"<div style=""font-size: 10px;"">
                        <b>Edge 218</b><br>
                        <ul style=""padding-left: 16px; margin: 4px 0;"">
                            <li><b>Total registered tracks</b>: 8</li>
                            <li><b>Average pace</b>: 18:38 min/km</li>
                        </ul></div>","LINESTRING (2.3524458 41.8212759, 2.3523721 41.8212437, 2.3523009 41.8211398, 2.3522836 41.8210737, 2.3523381 41.8209701, 2.3523591 41.8209335, 2.3522967 41.8208898, 2.352264 41.8208378, 2.3522212 41.8207996, 2.3522093 41.820746, 2.3522186 41.8206716, 2.3522831 41.8204085, 2.3523291 41.8203102, 2.3523463 41.8202106, 2.3523567 41.8200976, 2.3523855 41.8199599, 2.3524609 41.8198869, 2.3524724 41.8197796, 2.3525148 41.8196761, 2.3524628 41.8195371, 2.3524633 41.819468, 2.3525055 41.8193985, 2.3525412 41.8193537, 2.3525999 41.8193109, 2.352703 41.8192751, 2.3527859 41.8192108, 2.352947 41.8191622, 2.3529496 41.8190974, 2.3528739 41.8190528, 2.3528018 41.8190102, 2.3525716 41.8189473, 2.3524667 41.8188421, 2.3523579 41.8188188, 2.352265 41.8188524, 2.3521758 41.8189094, 2.3520481 41.8188915, 2.3519277 41.8188312, 2.3518172 41.8188413, 2.3516597 41.8188273, 2.3514987 41.8187714, 2.3513485 41.8187474, 2.3511983 41.8187314, 2.3510995 41.818701, 2.3510303 41.8186958, 2.350855 41.8186834, 2.3508049 41.818635, 2.3507584 41.8185954, 2.3507048 41.8186114, 2.3506082 41.8186994, 2.3505701 41.8187611, 2.3505151 41.8188113, 2.3504366 41.8189153, 2.3503259 41.8189635, 2.3502245 41.8190504, 2.3500718 41.8190752, 2.3499431 41.8190352)"
219,22.04,From 15 to 30 min/km,#E53888,25,From 25 to 50 tracks,#FB9E3A,"[115347710, 115419462, 115419462, 115419487, 115419487, 115419539, 115419539, 115419562, 115419562, 115419589, 115419589, 115419690, 115419690, 115419738, 115419738, 115420031, 115420031, 115420037, 115420037, 115420039, 115420039, 115420137, 115420137, 115420262, 115420262]",Edge <b>219</b>,"<div style=""font-size: 10px;"">
                        <b>Edge 219</b><br>
                        <ul style=""padding-left: 16px; margin: 4px 0;"">
                            <li><b>Total registered tracks</b>: 25</li>
                            <li><b>Average pace</b>: 22:02 min/km</li>
                        </ul></div>","LINESTRING (2.3524458 41.8212759, 2.3524537 41.8212354, 2.352474 41.8212088, 2.3525448 41.8211325, 2.3526965 41.82092, 2.3527253 41.8208524)"
236,14.18,Less than 15 min/km,#AC1754,2,Less than 25 tracks,#FCEF91,"[115347710, 115347710]",Edge <b>236</b>,"<div style=""font-size: 10px;"">
                        <b>Edge 236</b><br>
                        <ul style=""padding-left: 16px; margin: 4px 0;"">
                            <li><b>Total registered tracks</b>: 2</li>
                            <li><b>Average pace</b>: 14:11 min/km</li>
                        </ul></div>","LINESTRING (2.3615539 41.8357357, 2.3615425 41.8363116, 2.3615065 41.8365524, 2.3615448 41.8366864, 2.3616122 41.8368127, 2.3618038 41.8370928, 2.3619471 41.8372356, 2.3621144 41.83736, 2.3622758 41.8374319, 2.3624567 41.8374658, 2.3627945 41.8375011, 2.3630926 41.8374783, 2.3632264 41.8374714, 2.3633198 41.8374406, 2.3634214 41.837349, 2.363499 41.8371907, 2.3635589 41.8369634, 2.3636031 41.8367099, 2.3636715 41.8363418, 2.3637277 41.8362521, 2.3638158 41.8362252, 2.3639207 41.8361981, 2.3640411 41.8361988, 2.3641116 41.8362178, 2.364181 41.8362718, 2.3643766 41.8366674, 2.3645047 41.836923, 2.3646288 41.8371705, 2.3647331 41.8376483, 2.3648245 41.8380213, 2.364958 41.8385607, 2.3651403 41.8389137, 2.3655626 41.8396029, 2.366069 41.8404127)"
238,18.63,From 15 to 30 min/km,#E53888,1,Less than 25 tracks,#FCEF91,[115639784],Edge <b>238</b>,"<div style=""font-size: 10px;"">
                        <b>Edge 238</b><br>
                        <ul style=""padding-left: 16px; margin: 4px 0;"">
                            <li><b>Total registered tracks</b>: 1</li>
                            <li><b>Average pace</b>: 18:38 min/km</li>
                        </ul></div>","LINESTRING (2.3499431 41.8190352, 2.3499313 41.8189878, 2.3498039 41.8189364, 2.34968 41.8189245, 2.3494128 41.8188731, 2.3493385 41.8188071, 2.3492163 41.8187755, 2.3491367 41.818786, 2.3490659 41.8188085, 2.3489615 41.8187768, 2.348935 41.8187135, 2.3488872 41.8186845, 2.3488483 41.8186463, 2.348804 41.8186845, 2.3487191 41.8186871, 2.3486518 41.8186739, 2.3485475 41.8187749, 2.3484828 41.8188047, 2.348452 41.8188598, 2.3483842 41.8188483, 2.3483226 41.8189149, 2.3482179 41.8189264, 2.3481809 41.8189126, 2.3480268 41.8189448, 2.3478789 41.81897, 2.3477619 41.8189563, 2.3476664 41.8189586, 2.3476078 41.8189586, 2.3474414 41.8189861, 2.3473866 41.8189478, 2.3472592 41.8189425, 2.3471955 41.8189636, 2.3470893 41.8189662, 2.3469973 41.8188977, 2.3469442 41.8189267, 2.3467708 41.8189557, 2.3467177 41.8189768, 2.3467246 41.8190083, 2.3469365 41.8189703, 2.3468829 41.8190223, 2.3466281 41.8190842, 2.346502 41.8191102, 2.346384 41.8191662, 2.3464055 41.8191002, 2.3464162 41.8190742, 2.3464618 41.8190423, 2.3464296 41.8190263, 2.3463443 41.8190705, 2.3463625 41.8190203, 2.3462821 41.8190023, 2.3462338 41.8189343, 2.3461667 41.8189143, 2.3460648 41.8189283, 2.3459736 41.8189143, 2.3458985 41.8189483, 2.3458638 41.8190953, 2.345872 41.819165, 2.345876 41.8192771, 2.3457988 41.8193407, 2.3457053 41.8194225, 2.3456931 41.8195043, 2.3455833 41.8196104, 2.3453191 41.8197255, 2.3452188 41.8197457, 2.3450582 41.8197776)"
